Ищет работу на должность:,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы (месяц),Город,Готовность к переезду,Готовность к командировкам,Занятость_полная занятость,Занятость_частичная занятость,Занятость_проектная работа,Занятость_волонтерство,Занятость_стажировка,График_полный день,График_сменный график,График_гибкий график,График_удалённая работа,График_вахтовый метод,salary_value,salary_cur_name,salary_currency,date_x,date_y,exchange_rate,ЗП (руб)
Системный администратор,Химический завод им Л.Я. Карпова,инженер программист 1 категории,2019-04-18,Не указано,высшее,М,40,148.0,другие,False,True,True,True,True,False,False,True,True,False,False,False,45000.0,руб.,RUB,2019-04-18,,1.0,45000.0
Аналитик бизнес-процессов,Южный федеральный университет,Доцент,2019-04-11,Не указано,высшее,Ж,45,285.0,город-миллионник,False,True,True,True,True,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-11,,1.0,50000.0
Инженер-программист,"Электроника, ПСЦ, ООО",Инженер-программист,2019-05-07,Не указано,высшее,М,34,133.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
"Системный администратор, IT-специалист","ООО Сервис-трейд, Хабаровск,",Инженер-программист,2019-05-07,Не указано,высшее,М,29,146.0,другие,True,False,True,True,True,False,False,True,True,True,False,True,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Специалист технической поддержки,АО ВРК-1,Специалист 1 категории отдела информатизации,2019-04-10,Имеется собственный автомобиль,высшее,М,23,27.0,Москва,True,False,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-10,,1.0,80000.0
Сборщик компьютеров,ПЛ 17,Не указано,2019-04-25,Не указано,среднее специальное,М,23,,другие,True,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-25,,1.0,30000.0
Менеджер проекта,"ООО ""ELIS""",Продавец-кассир,2019-04-14,Не указано,высшее,Ж,27,29.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,400.0,USD,USD,2019-04-14,2019-04-14,64.5171,25806.84
Программист Ruby / Ruby on Rails,Учи.ру,Программист,2019-05-07,Не указано,высшее,М,43,258.0,Москва,False,True,True,True,False,False,False,True,False,False,False,False,224999.0,руб.,RUB,2019-05-07,,1.0,224999.0
Тестировщик ПО,Атис Групп,"Бизнес-ассистент -> Аккаунт-менеджер, бизнес-консультант, менеджер продукта",2019-02-03,Не указано,высшее,Ж,31,160.0,Москва,False,False,True,True,True,False,False,True,True,True,False,False,55000.0,руб.,RUB,2019-02-03,,1.0,55000.0
Системный администратор,ООО «Автопасс»,Системный администратор,2019-04-20,Имеется собственный автомобиль,высшее,М,37,169.0,другие,True,True,True,True,True,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-20,,1.0,90000.0
Тестировщик,Южная Школа Программирования,Студентка,2019-04-13,Не указано,высшее,Ж,35,156.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-13,,1.0,20000.0
Разработчик РЭА,НИИ Микроприборов им. Г.Я. Гуськова,Ведущий инженер-электроник,2019-04-10,Не указано,высшее,М,30,132.0,другие,False,True,True,True,True,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-10,,1.0,90000.0
Монтажник,ИП Ардашов А.Н,Директор,2019-04-10,Не указано,среднее специальное,М,24,35.0,Москва,True,False,True,True,False,False,False,True,True,True,False,False,45000.0,руб.,RUB,2019-04-10,,1.0,45000.0
"Сетевой инженер, Администратор сетей, Инженер ИТ","Авантел, ЗАО",Сетевой администратор,2019-04-17,Не указано,среднее специальное,М,32,134.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-17,,1.0,80000.0
Специалист технической поддержки,"Карачаево-Черкесский ордена ""Знака Почета"" институт гуманитарных исследований при Правительстве Карачаево-Черкесской Республики",Системный администратор,2019-04-15,Не указано,высшее,М,29,68.0,Москва,True,True,True,True,False,False,False,True,False,True,False,False,40000.0,руб.,RUB,2019-04-15,,1.0,40000.0
Системный администратор,фгбу аналитический центр минсельхоза россии,Ведущий специалист IT управления,2019-04-26,Не указано,среднее специальное,М,22,9.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-04-26,,1.0,45000.0
"ГИС специалист, Web разработчик, JS","ГБУ ""АПР""",Начальник отдела наполнение баз данных,2019-05-13,Имеется собственный автомобиль,высшее,М,31,130.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,190000.0,руб.,RUB,2019-05-13,,1.0,190000.0
Инженер технической поддержки,Курская ГСХА,Системный администратор,2019-04-17,Не указано,высшее,М,33,126.0,другие,False,False,True,False,False,False,False,True,True,True,False,True,30000.0,руб.,RUB,2019-04-17,,1.0,30000.0
Инженер-электронщик,"ООО ""Эйлитон"" (АО Юнимед)",Ведущий инженер,2019-04-12,Не указано,высшее,М,63,97.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-12,,1.0,90000.0
Тендерный отдел,Организации,Системный администратор,2019-04-22,Не указано,высшее,М,28,95.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,200000.0,KZT,KZT,2019-04-22,2019-04-22,0.16868,33736.0
Ведущий специалист по нагрузочному и автоматизированному тестированию,Бюро кредитных историй Эквифакс,ведущий специалист по тестированию,2019-05-07,Не указано,высшее,М,43,264.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,200000.0,руб.,RUB,2019-05-07,,1.0,200000.0
"Руководитель ,зам.руководителя,системный администратор, инженер",Энфорта,Специалист по организации предоставления услуг пользователям(региональный руководитель),2019-04-18,Имеется собственный автомобиль,высшее,М,28,110.0,город-миллионник,True,True,True,False,False,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-18,,1.0,40000.0
Руководитель проектов,ООО АTАK,Директор супермаркета,2019-04-25,Не указано,высшее,М,30,79.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-25,,1.0,100000.0
Ведущий специалист удаленной технической поддержки,"МАГНИТ, Розничная сеть",Ведущий специалист отдела информационных технологий,2019-04-16,Имеется собственный автомобиль,высшее,М,33,154.0,город-миллионник,True,True,True,True,True,False,False,True,False,True,False,False,60000.0,руб.,RUB,2019-04-16,,1.0,60000.0
Системный администратор,"The Ritz-Carlton, Moscow",Системный администратор,2018-08-06,Имеется собственный автомобиль,высшее,М,24,41.0,Москва,True,True,True,False,False,False,False,True,True,True,False,False,80000.0,руб.,RUB,2018-08-06,,1.0,80000.0
SEO специалист,Страховой Советник «Брокерс»,SEO-специалист,2019-04-10,Имеется собственный автомобиль,высшее,М,31,94.0,город-миллионник,True,True,True,False,False,False,False,True,True,False,False,False,90000.0,руб.,RUB,2019-04-10,,1.0,90000.0
Инженер-архитектор,"ТОО ""Hörmann Kazakhstan""",Инженер по работе с проектами\Архитектор,2019-04-17,Имеется собственный автомобиль,высшее,М,32,146.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,500000.0,KZT,KZT,2019-04-17,2019-04-17,0.169067,84533.5
Старший консультант SAP PM,ООО БДО Юникон,Старший консультант,2019-04-26,Не указано,высшее,М,35,128.0,Москва,False,True,True,True,True,False,False,True,True,False,False,False,200000.0,руб.,RUB,2019-04-26,,1.0,200000.0
Аналитик,МегаФон,Старший специалист по федеральной отчетности Контактных Центров,2019-04-07,Не указано,высшее,Ж,26,71.0,город-миллионник,False,True,True,True,False,False,False,True,True,True,False,False,60000.0,руб.,RUB,2019-04-07,,1.0,60000.0
Веб-дизайнер,"МАГНИТ, Розничная сеть",Продавец,2019-04-26,Не указано,неоконченное высшее,М,20,6.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,20000.0,руб.,RUB,2019-04-26,,1.0,20000.0
Директор по развитию,ЭлСиТелеком,Директор по развитию,2019-04-12,Имеется собственный автомобиль,высшее,М,38,173.0,Москва,True,False,False,True,True,False,False,False,True,True,False,False,325000.0,руб.,RUB,2019-04-12,,1.0,325000.0
Руководитель отдела ИТ,Dr.Loder,Руководитель департамента информационных технологий,2019-05-07,Не указано,высшее,М,35,114.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-05-07,,1.0,150000.0
Ведущий специалист,ПАО Таттелеком,Ведущий специалист отдела развития собственной розницы и дилерских каналов продаж,2019-04-10,Не указано,неоконченное высшее,Ж,26,76.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-10,,1.0,30000.0
системный администратор,"ООО ""Мегамикс Комбикорм""",Старший администратор вычислительной сети,2019-04-19,Не указано,высшее,М,28,89.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,110000.0,руб.,RUB,2019-04-19,,1.0,110000.0
Монтажник слаботочных систем,МИККОМ-ИСБ,Бригадир монтажников,2019-04-25,Не указано,среднее специальное,М,44,176.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-25,,1.0,50000.0
Специалист широкого профиля,TELE2 Россия,Администратор,2019-05-07,Имеется собственный автомобиль,высшее,М,25,28.0,Москва,True,False,True,True,False,False,False,True,True,True,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
Специалист отдела логистики,"ООО ""Фортес""  ТК Красный Куб",Руководитель отдела логистики,2019-04-22,Не указано,высшее,М,33,109.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
Руководитель технического отдела / Системный администратор,Военный комиссариат Алтайского края,Старший помощник (по АСУ) начальника отделения учета и призыва граждан на военную службу,2019-04-26,Не указано,высшее,М,55,327.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
Инженер технической поддержки,ОКБ им. А.Люльки,инженер 1-й категории,2019-04-18,Имеется собственный автомобиль,высшее,М,32,120.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-04-18,,1.0,70000.0
Project manager,ООО Русские корма,Генеральный  директор,2019-04-22,Не указано,высшее,М,25,84.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
SEO-specialist,Lemonads - рекламное агенство,Стажер,2019-04-17,Не указано,высшее,М,29,58.0,Санкт-Петербург,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-17,,1.0,30000.0
Системный администратор,Сибирская генерирующая компания,Ведущий специалист отдела средств связи,2019-04-26,Имеется собственный автомобиль,высшее,М,34,139.0,город-миллионник,False,True,True,False,False,False,False,True,True,False,False,False,50000.0,руб.,RUB,2019-04-26,,1.0,50000.0
Оператор,ООО Ашан,Оператор базы данных,2019-04-17,Имеется собственный автомобиль,среднее специальное,Ж,28,107.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-17,,1.0,25000.0
Аналитик,"АО ""Рестрим"" (Ростелеком)",Аналитик,2019-04-26,Не указано,высшее,М,35,130.0,Москва,True,True,True,False,True,False,False,True,True,True,False,False,100000.0,руб.,RUB,2019-04-26,,1.0,100000.0
Game designer,HGS-studio,Game developer,2019-04-15,Не указано,высшее,М,26,19.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-15,,1.0,30000.0
руководитель,Управление архитектуры и градостроительства Калужской области,ведущий эксперт отдела информационного обеспечения градостроительной деятельности,2019-04-26,Не указано,высшее,М,39,169.0,другие,True,True,True,True,False,False,False,True,True,False,False,False,55000.0,руб.,RUB,2019-04-26,,1.0,55000.0
IT-менеджер,Арман Групп,IT-менеджер,2019-04-22,Не указано,высшее,М,28,74.0,Санкт-Петербург,True,True,True,False,False,False,False,True,False,False,False,False,110000.0,руб.,RUB,2019-04-22,,1.0,110000.0
"Начальник отдела, Программист, разработчик",АО Банк Венец,Начальник отдела сопровождения информационных систем,2019-04-15,Имеется собственный автомобиль,высшее,М,42,214.0,другие,True,False,True,False,False,False,False,True,False,False,False,False,130000.0,руб.,RUB,2019-04-15,,1.0,130000.0
Администратор проекта/ менеджер проекта,Сбербанк,Администратор проектов,2019-05-07,Не указано,высшее,Ж,33,117.0,Москва,True,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Инженер-программист АСУ ТП,"ЗАО ""ПромГидроРус""",Инженер-программист АСУ ТП,2019-05-07,Имеется собственный автомобиль,высшее,М,36,183.0,Москва,False,True,True,False,False,False,False,True,True,True,False,False,120000.0,руб.,RUB,2019-05-07,,1.0,120000.0
Технический специалист,"ЗАО ""Акадо-Столица""",Ведущий специалист,2019-04-10,Не указано,среднее специальное,М,41,133.0,другие,False,True,True,False,False,False,False,True,True,False,False,False,60000.0,руб.,RUB,2019-04-10,,1.0,60000.0
Front-End разработчик,АПИР,Frontend-разработчик,2019-05-07,Не указано,высшее,М,24,50.0,Москва,True,True,True,True,True,False,False,True,True,True,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Менеджер проектов,Funky Business,Руководитель проектов,2019-04-15,Не указано,высшее,Ж,27,69.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-15,,1.0,50000.0
Специалист по IT,Asia Service Shymkent,Специалист по IT,2019-04-26,Не указано,среднее специальное,М,23,15.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,100000.0,KZT,KZT,2019-04-26,2019-04-26,0.170151,17015.1
Инженер,"ООО ""Нэт Бай Нэт Холдинг""",Инженер по строительству,2019-04-25,Имеется собственный автомобиль,высшее,М,35,135.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-04-25,,1.0,45000.0
Ведущий программист C#,"ООО ""Медфлагман""",Ведущий инженер программист,2019-05-07,Не указано,высшее,М,31,83.0,другие,False,True,True,False,False,False,False,False,False,False,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Менеджер проектов,"ООО ""Форессия""",Инспектор по качеству,2019-04-22,Не указано,неоконченное высшее,М,32,160.0,другие,True,True,True,False,False,False,False,True,True,False,False,True,35000.0,руб.,RUB,2019-04-22,,1.0,35000.0
Руководитель IT отдела,"ООО ""АЙРОБ""","Руководитель проекта, программист",2018-06-15,Не указано,высшее,М,40,173.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,160000.0,руб.,RUB,2018-06-15,,1.0,160000.0
Инженер-программист,ЗАО Научно-исследовательский центр «СтаДиО»,Исследователь-программист,2019-05-07,Не указано,высшее,М,30,91.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
системный администратор,"ОАО ""Автовокзалы Удмуртии""",Инженер по АСУ,2019-04-21,Не указано,высшее,М,30,138.0,другие,True,True,True,False,False,False,False,True,False,False,False,True,30000.0,руб.,RUB,2019-04-21,,1.0,30000.0
Специалист технической поддержки,"ООО ""ДЛ-Декор"" (ДОМ-Лаверна)",руководитель отдела группы технологов,2019-04-14,Не указано,высшее,М,47,290.0,Санкт-Петербург,False,True,True,True,False,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-04-14,,1.0,40000.0
Web-разработчик,"ООО ""Финсервис""",Web-разработчик,2019-04-11,Не указано,высшее,М,28,75.0,другие,False,True,True,False,True,False,False,True,False,False,False,False,3000.0,USD,USD,2019-04-11,2019-04-11,64.0316,192094.8
Начинающий специалист,Министерство Обороны РФ,Офицер ОСК штаба ВВО,2019-04-19,Имеется собственный автомобиль,высшее,М,33,131.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-19,,1.0,35000.0
Инженер систем безопасности и видеонаблюдения; сервисный ИТ инженер.,"ООО ""Защита профи"" (ООО ""Фирма СТЭЛС"")",Инженер АСУ,2019-04-10,Имеется собственный автомобиль,высшее,М,55,302.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-04-10,,1.0,45000.0
Программист,"АО ""Ижевский мотозавод ""Аксион-холдинг""",Ведущий инженер-программист,2019-04-09,Не указано,высшее,М,36,215.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-09,,1.0,50000.0
Lead QA engineer,NVIDIA Ltd. Russian Branch,Senior QA engineer,2019-04-22,Не указано,высшее,М,24,32.0,Москва,True,True,True,False,False,False,False,True,False,True,False,False,230000.0,руб.,RUB,2019-04-22,,1.0,230000.0
Специалист технической поддержки,Почта России,Специалист технической поддержки,2019-04-26,Не указано,среднее специальное,М,23,26.0,другие,False,False,True,False,False,False,False,False,True,False,False,False,30000.0,руб.,RUB,2019-04-26,,1.0,30000.0
Тестировщик ПО,Сбербанк,Тестировщик ПО,2019-04-25,Не указано,высшее,М,32,127.0,Москва,True,True,True,True,True,False,True,True,True,True,False,False,65000.0,руб.,RUB,2019-04-25,,1.0,65000.0
"IT-инженер, руководитель",Простор Телеком,Инженер связи,2019-04-09,Имеется собственный автомобиль,среднее специальное,М,29,146.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-09,,1.0,50000.0
Руководитель проектов,"ООО""Объектив""",Генеральный  директор,2019-04-14,Не указано,высшее,М,48,253.0,город-миллионник,True,True,True,True,False,False,False,True,True,True,False,False,100000.0,руб.,RUB,2019-04-14,,1.0,100000.0
менеджер по продажам,Holiday paint,Франчайзинг,2019-04-26,Имеется собственный автомобиль,высшее,М,24,5.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-04-26,,1.0,60000.0
Специалист технической поддержки,"ООО ""Альтернатива""",Менеджер по работе с клиентами,2019-04-19,Не указано,высшее,М,23,24.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-19,,1.0,35000.0
Менеджер проектов,"LLC ""Roof_trade""",Менеджер проекта и ВЭД,2019-04-22,Не указано,высшее,М,29,75.0,другие,True,True,True,False,False,False,False,True,False,False,False,False,60000.0,руб.,RUB,2019-04-22,,1.0,60000.0
Аналитик,"Аромат, ОА",Экономист-аналитик отдела материально-технического снабжения,2019-05-07,Не указано,высшее,Ж,25,28.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,45000.0,руб.,RUB,2019-05-07,,1.0,45000.0
Асессор Справочника (Россия),"ООО ЧОО ""Омега-ДВ""",диспетчер ПЦН,2019-04-18,Не указано,высшее,Ж,39,131.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,25000.0,руб.,RUB,2019-04-18,,1.0,25000.0
"Начальник отдела информационных технологий, системный администратор","ООО ""Вега"" (филиальная сеть аптек)",Специалист по сопровождению ИТ,2019-05-07,Имеется собственный автомобиль,высшее,М,42,180.0,город-миллионник,True,True,True,True,True,False,False,True,True,True,False,False,40000.0,руб.,RUB,2019-05-07,,1.0,40000.0
Product manager,Mеl,Product manager,2019-05-13,Имеется собственный автомобиль,высшее,Ж,26,61.0,Москва,False,True,True,False,False,False,False,False,False,False,False,False,150000.0,руб.,RUB,2019-05-13,,1.0,150000.0
Системный администратор,КНПП Вертолеты МИ,Системный администратор,2019-05-07,Не указано,среднее специальное,М,50,191.0,город-миллионник,False,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-05-07,,1.0,35000.0
Веб-дизайнер,Удаленка,Веб-дизайнер,2019-04-25,Не указано,неоконченное высшее,Ж,24,30.0,Москва,False,False,True,True,False,False,True,True,True,False,False,False,40000.0,руб.,RUB,2019-04-25,,1.0,40000.0
Менеджер проекта,Индивидуальный предприниматель Популовских Дмитрий Николаевич,Продавец-кассир,2019-04-08,Не указано,неоконченное высшее,Ж,25,40.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-08,,1.0,50000.0
QA Junior/ Начинающий разработчик Java,"ООО ""УБТ-Экология""",Специалист по информационным системам,2019-04-25,Не указано,высшее,М,24,11.0,Москва,True,False,True,True,True,False,True,True,False,False,False,False,30000.0,руб.,RUB,2019-04-25,,1.0,30000.0
Программист тимлид,ИП Астров,"Ведущий программист, тимлид",2019-05-07,Не указано,высшее,М,34,145.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,180000.0,руб.,RUB,2019-05-07,,1.0,180000.0
Специалист по защите информации/информационной безопасности,ГУ МВД России по Новосибирской области,Старший специалист по защите информации,2019-04-22,Не указано,высшее,М,32,111.0,город-миллионник,False,True,True,False,False,False,False,True,False,False,False,False,65000.0,руб.,RUB,2019-04-22,,1.0,65000.0
"ИТ-специалист, системный администратор","Рексам, ООО",Аналитик по поддержке ИТ,2019-05-07,Имеется собственный автомобиль,высшее,М,38,150.0,другие,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
2D-художник,МегаФон Ритейл,Специалист по продажам,2019-04-21,Не указано,среднее специальное,М,22,12.0,Москва,True,True,True,False,False,False,True,True,True,True,False,False,50000.0,руб.,RUB,2019-04-21,,1.0,50000.0
Unity/C# Разработчик,Gumtree.com (eBay),Технический стажер,2019-05-07,Не указано,высшее,М,23,20.0,Москва,True,True,True,False,False,False,False,True,False,True,False,False,100000.0,руб.,RUB,2019-05-07,,1.0,100000.0
Специалист,ИП Юмагужин М.М.,Собственник,2019-05-07,Не указано,неоконченное высшее,М,31,121.0,другие,True,True,False,True,False,False,False,True,True,True,False,False,50000.0,руб.,RUB,2019-05-07,,1.0,50000.0
"Программист, Разработчик",ООО АйПильсин,Программист-разработчик,2019-04-22,Не указано,высшее,М,21,15.0,другие,True,True,True,True,True,False,False,True,True,True,False,False,80000.0,руб.,RUB,2019-04-22,,1.0,80000.0
Программист Python,"Геоцентр-Консалтинг, ЗАО",ГИС технолог,2019-04-22,Не указано,высшее,М,30,99.0,другие,True,True,True,True,False,False,False,True,True,True,False,False,100000.0,руб.,RUB,2019-04-22,,1.0,100000.0
SEO-специалист,"ООО ""Корсунов""",SEO-специалист,2019-05-07,Не указано,высшее,М,26,96.0,Москва,False,False,True,True,True,True,True,True,True,True,False,True,250000.0,руб.,RUB,2019-05-07,,1.0,250000.0
Менеджер,"ООО ПэйОнлайн Систем, г.Москва",Менеджер по продажам,2019-04-10,Не указано,высшее,Ж,31,118.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,40000.0,руб.,RUB,2019-04-10,,1.0,40000.0
Интернет-маркетолог,Чип тюнинг Ford Focus,Интернет-маркетолог,2019-04-18,Имеется собственный автомобиль,высшее,М,29,58.0,другие,False,False,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-18,,1.0,50000.0
Специалист по IT / IT инженер,"ТОО ""Aluminium of Kazakhstan""",Системный администратор,2019-04-22,Не указано,высшее,М,26,30.0,другие,True,False,True,False,False,False,False,True,True,True,False,False,250000.0,KZT,KZT,2019-04-22,2019-04-22,0.16868,42170.0
Системный аналитик,"АНО ""Роскачество""",Старший системный аналитик/ Программист 1с,2019-05-14,Не указано,высшее,М,38,209.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,85000.0,руб.,RUB,2019-05-14,,1.0,85000.0
Контент-менеджер,Qcomment,Автор,2019-04-27,Не указано,высшее,Ж,28,99.0,Москва,False,False,True,True,True,False,False,False,False,False,False,False,35000.0,руб.,RUB,2019-04-27,,1.0,35000.0
Siebel разработчик,Философия IT,Разработчик Siebel crm,2019-04-25,Не указано,высшее,М,23,30.0,другие,True,True,True,True,False,False,True,True,True,True,False,True,85000.0,руб.,RUB,2019-04-25,,1.0,85000.0
Менеджер проектов,ООО «СМК»,Ведущий инженер,2019-04-22,Имеется собственный автомобиль,высшее,М,25,39.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,85000.0,руб.,RUB,2019-04-22,,1.0,85000.0
Руководитель проекта,"ООО ""ЭТС""",Начальник участка,2019-04-19,Не указано,высшее,М,57,288.0,Санкт-Петербург,True,True,True,False,False,False,False,True,False,False,False,False,90000.0,руб.,RUB,2019-04-19,,1.0,90000.0
Тестировщик ПО,Газпром трансгаз Беларусь,Начальник бюро,2019-04-26,Имеется собственный автомобиль,высшее,М,40,214.0,другие,False,False,False,True,False,False,False,False,False,False,False,False,600.0,бел.руб.,,2019-04-26,,,
Менеджер интернет-магазина,Нет опыта,Нет опыта,2019-04-09,Не указано,среднее специальное,М,23,4.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,30000.0,руб.,RUB,2019-04-09,,1.0,30000.0
Региональный менеджер по продажам,ЗАО Лореаль,РУКОВОДИТЕЛЬ МАРКИ KERASTASE ЮФО                                                 (подразделение профессиональной продукции),2019-04-08,Не указано,высшее,Ж,41,117.0,город-миллионник,True,True,True,False,False,False,False,True,False,False,False,False,100000.0,руб.,RUB,2019-04-08,,1.0,100000.0
"Инженер,Сварщик ВОЛС / GPON",ЗАО «Электро-Ком Дон» (ТМ «Спарк» г. Ростов-на-Дону) ООО «Сумма Телеком» г. Ростов-на-Дону ЗАО «Кавказ-Транстелеком» Корбина Телеком / ЗАО Инвестэлектросвязь ОАО ВымпелКом (ТМ Билайн) ОАО «ЮТК» Ростовский филиал. Договор,"Сварщик ВОЛС, Бригадир,Мастер",2019-05-07,Имеется собственный автомобиль,среднее специальное,М,40,155.0,город-миллионник,False,True,True,False,False,False,False,True,True,False,False,True,70000.0,руб.,RUB,2019-05-07,,1.0,70000.0
Кладовщик,ПАО МОЭК,Слесарь,2019-04-26,Имеется собственный автомобиль,среднее специальное,М,39,88.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,50000.0,руб.,RUB,2019-04-26,,1.0,50000.0
Аналитик,Департамент финансов Москвы,Консультант,2019-04-17,Имеется собственный автомобиль,высшее,М,26,66.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,115000.0,руб.,RUB,2019-04-17,,1.0,115000.0
Печатник (специалист по термопечати),Спорт стрит,Печатник,2019-04-26,Не указано,неоконченное высшее,Ж,23,26.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,35000.0,руб.,RUB,2019-04-26,,1.0,35000.0
Координатор проектов,RENAULT,"Инженер по автоматизации, Служба повышения эффективности и автоматизации производства",2019-04-26,Имеется собственный автомобиль,высшее,М,24,34.0,Москва,True,True,True,False,True,False,False,True,False,True,False,False,120000.0,руб.,RUB,2019-04-26,,1.0,120000.0
Системный администратор,ОАО Фруз (агропромышленный холдинг),Системный администратор,2019-04-18,Не указано,высшее,М,39,153.0,Москва,False,False,True,False,False,False,False,True,False,False,False,False,56000.0,руб.,RUB,2019-04-18,,1.0,56000.0
Системный адиминистратор,"ФГУП""Охрана""МВД РФ по Волгоградской области",Начальник дежурной смены ПЦО,2019-05-13,Не указано,высшее,М,46,79.0,город-миллионник,True,False,True,False,False,False,False,True,False,False,False,False,15000.0,руб.,RUB,2019-05-13,,1.0,15000.0
PHP-программист,"МКУ МО ""Гвардейский городской округ"" ""Центр МТО""",Главный инженер-программист,2019-05-14,Не указано,среднее специальное,М,28,29.0,другие,True,False,True,False,True,False,False,True,False,True,False,False,70000.0,руб.,RUB,2019-05-14,,1.0,70000.0
Руководитель телекоммуникационных проектов,АО Оптима,Ведущий инженер,2019-05-07,Не указано,высшее,М,55,242.0,Москва,True,True,True,True,True,False,False,True,False,False,False,True,90000.0,руб.,RUB,2019-05-07,,1.0,90000.0
Аналитик бизнес-процессов 1С,"ООО ""СДС - Групп""",Администратор 1С,2019-04-05,Не указано,высшее,М,32,143.0,Москва,False,True,True,False,False,False,False,True,False,False,False,False,150000.0,руб.,RUB,2019-04-05,,1.0,150000.0
